endTime,artistName,trackName,msPlayed
3/14/2019 14:26,Thomas Rhett,Die A Happy Man,102009
3/14/2019 15:46,Chris Tomlin,Indescribable,238786
3/14/2019 15:49,Matt Maher,"Lord, I Need You",184198
3/15/2019 18:14,Lady Gaga,Is That Alright?,191280
3/15/2019 18:17,Lady Gaga,I Don't Know What Love Is,177293
3/15/2019 18:21,Lady Gaga,Diggin' My Grave,53044
3/15/2019 18:23,Lady Gaga,Million Reasons,103584
3/15/2019 19:17,Lady Gaga,Hair Body Face,4527
3/15/2019 19:21,Lady Gaga,Before I Cry,258546
3/15/2019 19:23,Lady Gaga,Music To My Eyes,105042
3/15/2019 19:26,Lady Gaga,Shallow,213670
3/16/2019 0:09,Lady Gaga,Shallow,2057
3/16/2019 0:13,Lady Gaga,Always Remember Us This Way,210200
3/16/2019 0:18,Bradley Cooper,Black Eyes,183773
3/16/2019 0:21,Bradley Cooper,Alibi,183226
3/16/2019 0:21,Lady Gaga,Bad Romance,45397
3/16/2019 0:25,Lady Gaga,Million Reasons,176576
3/23/2019 15:42,Lady Gaga,Million Reasons,10282
3/23/2019 15:45,Calum Scott,You Are The Reason - Duet Version,190760
3/23/2019 15:49,Lauv,The Story Never Ends,229029
3/23/2019 15:52,Shawn Mendes,Fallin' All In You,58725
3/24/2019 19:00,Shawn Mendes,Fallin' All In You,177012
3/24/2019 19:05,Lauren Daigle,You Say,274693
3/24/2019 19:08,James TW,When You Love Someone,216373
3/24/2019 19:11,Kane Brown,Heaven - Acoustic,174585
3/24/2019 19:41,Niall Horan,Too Much To Ask,23459
3/24/2019 19:44,James Arthur,Say You Won't Let Go,211240
3/24/2019 19:48,The Script,"Never Seen Anything ""Quite Like You"" - Acoustic",228146
3/24/2019 19:52,Train,Marry Me,205453
3/24/2019 19:56,Aidan Martin,Punchline (Acoustic),242442
3/24/2019 20:01,Shawn Mendes,Never Be Alone,215813
3/24/2019 20:04,Lauv,There's No Way (feat. Julia Michaels),174860
3/24/2019 20:08,Adele,Water Under the Bridge,240426
3/24/2019 20:08,Conor Maynard,Don't Let Me Down,21234
3/24/2019 20:09,Sam Smith,Lay Me Down,18599
3/24/2019 20:12,Russell Dickerson,Yours,216960
3/24/2019 20:18,Thomas Rhett,Marry Me,205453
3/24/2019 20:27,Brett Young,In Case You Didn't Know,226200
3/24/2019 20:32,Dan + Shay,From the Ground Up - Single Version,254293
3/24/2019 20:35,Brett Eldredge,The Long Way,208720
3/24/2019 20:41,Noah Schnacky,Hello Beautiful,216992
3/24/2019 20:44,LANCO,Greatest Love Story,222573
3/24/2019 20:50,Brett Young,Mercy,217120
3/24/2019 20:53,Dan + Shay,Speechless,176450
3/24/2019 20:56,Maren Morris,I Could Use a Love Song,196421
3/24/2019 21:00,Keith Urban,Female,125703
3/25/2019 2:19,Daddy Yankee,Con Calma,41795
3/25/2019 2:22,Tom Walker,Just You and I,174982
3/25/2019 2:25,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),189486
3/25/2019 2:29,Sofia Reyes - R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes - R.I.P. (feat. Rita Ora & Anitta),188817
3/25/2019 2:30,Hozier,Almost (Sweet Music),59118
3/25/2019 2:33,Russell Dickerson,Yours,216960
3/25/2019 2:37,Thomas Rhett,Marry Me,179136
3/25/2019 2:37,Hailee Steinfeld,Most Girls,2275
3/25/2019 2:42,Hailee Steinfeld,Capital Letters,219373
3/25/2019 2:45,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",174800
3/25/2019 2:47,Logic,Ordinary Day (ft. Hailee Steinfeld),95857
3/25/2019 3:32,Maren Morris,Gold Love,203146
3/25/2019 3:35,Maren Morris,Shade,171320
3/25/2019 3:40,Maren Morris,To Hell & Back,85618
3/25/2019 13:53,Hillsong UNITED,Oceans (Where Feet May Fail),536000
3/25/2019 13:57,David Crowder Band,How He Loves,245269
3/25/2019 14:53,Sam Hunt,Make You Miss Me,8521
3/25/2019 14:56,"Artists Of Then, Now & Forever",Forever Country,179374
3/25/2019 14:59,Kelsea Ballerini,Peter Pan,200040
3/25/2019 16:37,Eric Church,Record Year,179346
3/25/2019 16:40,Blake Shelton,Go Ahead and Break My Heart (feat. Gwen Stefani),8087
3/25/2019 16:40,Brett Eldredge,Drunk on Your Love,173960
3/25/2019 17:52,Blake Shelton,Go Ahead and Break My Heart (feat. Gwen Stefani),2066
3/25/2019 17:55,Miranda Lambert,Smokin' and Drinkin' - [feat. Little Big Town],137655
3/25/2019 17:58,Maren Morris,I Could Use a Love Song,196421
3/25/2019 18:01,Old Dominion,Break Up with Him,162054
3/25/2019 18:54,Old Dominion,Break Up with Him,45680
3/25/2019 18:57,Lee Brice,I Don't Dance,74011
3/26/2019 3:17,Imagine Dragons,Thunder,187146
3/26/2019 3:20,Hailee Steinfeld,You're Such A,188052
3/26/2019 3:23,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",174800
3/26/2019 3:27,MAX,Lights Down Low,223846
3/26/2019 3:32,Selena Gomez,Wolves,197993
3/26/2019 3:36,Shawn Mendes,In My Blood,211360
3/26/2019 3:39,5 Seconds of Summer,Youngblood,39974
3/26/2019 3:39,Lauv,I Like Me Better,197436
3/26/2019 3:43,Kygo,Remind Me to Forget,217286
3/26/2019 3:48,Shawn Mendes,There's Nothing Holdin' Me Back,199440
3/26/2019 3:51,Nina Nesbitt,Somebody Special,200920
3/26/2019 3:52,Justin Timberlake,Not a Bad Thing,63381
3/26/2019 3:56,Rudimental,These Days,210772
3/26/2019 4:12,Jonas Blue,Rise,188412
3/26/2019 5:50,Maren Morris,Gold Love,9258
3/26/2019 5:50,Sam Hunt,Make You Miss Me,1344
3/26/2019 5:50,"Artists Of Then, Now & Forever",Forever Country,3520
3/26/2019 5:50,Kelsea Ballerini,Peter Pan,9066
3/26/2019 5:53,Brett Eldredge,Bring You Back,191986
3/26/2019 5:58,Brett Eldredge,Don't Ya,181209
3/26/2019 6:02,Brett Eldredge,One Mississippi,225400
3/26/2019 6:09,Brett Eldredge,Somethin' I'm Good At,120072
3/26/2019 14:09,Chris Tomlin,How Great Is Our God - World Edition,365134
3/26/2019 14:13,Rend Collective,My Lighthouse,224173
3/26/2019 14:13,Tim Hughes,Here I Am To Worship,12049
3/26/2019 14:14,Chris Tomlin,I Will Follow,26679
3/26/2019 14:17,Lauren Daigle,Trust In You,211600
3/26/2019 14:21,Cory Asbury,Reckless Love,217863
3/26/2019 15:49,Cory Asbury,Reckless Love,145264
3/26/2019 17:09,James TW,When You Love Someone,216373
3/26/2019 17:13,Niall Horan,Too Much To Ask,223043
3/26/2019 17:18,Lauv,The Story Never Ends,229029
3/26/2019 17:19,Shawn Mendes,Fallin' All In You,20884
3/26/2019 19:44,James Arthur,Say You Won't Let Go,25240
3/26/2019 19:53,James Arthur,Say You Won't Let Go,209200
3/26/2019 19:56,Calum Scott,You Are The Reason - Duet Version,190760
3/26/2019 19:59,Train,Marry Me,203617
3/26/2019 20:35,The Script,"Never Seen Anything ""Quite Like You"" - Acoustic",228146
3/26/2019 20:40,Lauren Daigle,You Say,274693
3/26/2019 20:43,Kane Brown,Heaven - Acoustic,174585
3/26/2019 20:44,Daniel Schulz,Turn Back Time,24974
3/26/2019 20:46,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),149877
3/26/2019 20:50,John Mayer,Love on the Weekend,212626
3/26/2019 20:56,Phillip Larue,Sweet Love,267862
3/26/2019 21:13,Isaiah,It's Gotta Be You,36311
3/26/2019 21:29,Isaiah,It's Gotta Be You,155087
3/26/2019 21:29,James TW,You & Me,21279
3/26/2019 21:33,James Arthur,Can I Be Him - Acoustic Live Version,213066
3/26/2019 22:25,James Arthur,Can I Be Him - Acoustic Live Version,92104
3/26/2019 22:28,Julia Michaels,What A Time (feat. Niall Horan),173306
3/26/2019 22:28,*NSYNC,This I Promise You,28436
3/26/2019 22:35,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),218293
3/26/2019 22:38,Joy Williams,Don't Let Me Down,43699
3/26/2019 23:49,Joy Williams,Don't Let Me Down,14883
3/26/2019 23:53,Dean Lewis,7 Minutes,211453
3/26/2019 23:57,James Arthur,At My Weakest,217293
3/26/2019 23:59,Lord Huron,The Night We Met,134289
